,lp_bigM,,,,,,sBigM,,,,,
load_index,obj_val,gap,time,nodes,status,,obj_val,gap,time,nodes,status,ub
1,3027.253711,2.08E-05,22.49637222,45734,OPTIMAL,,3027.190703,0,1.381261826,1605,OPTIMAL,TRUE
2,2791.524783,3.39E-05,17.29149437,39653,OPTIMAL,,2791.430033,0,2.64453125,4397,OPTIMAL,FALSE
3,2798.786912,1.70E-05,54.48073959,121606,OPTIMAL,,2781.307668,0,2.997928619,6885,OPTIMAL,FALSE
4,2841.77507,0,294.536747,526743,OPTIMAL,,2830.46774,0,2.885709763,3582,OPTIMAL,FALSE
5,2619.662207,5.58E-07,24.56430626,51803,OPTIMAL,,2619.660745,0,1.584140778,3088,OPTIMAL,TRUE
6,3079.70481,2.13E-05,15.81736565,38530,OPTIMAL,,3079.639149,0,2.940061569,5823,OPTIMAL,FALSE
7,2892.549935,2.61E-05,26.72546387,38799,OPTIMAL,,2852.096374,0,2.192817688,2825,OPTIMAL,FALSE
8,3000.492233,4.77E-05,29.31685638,57028,OPTIMAL,,3000.348986,0,1.547006607,3284,OPTIMAL,TRUE
9,3099.643365,5.57E-07,356.6635456,523133,OPTIMAL,,3067.133759,0,1.760923386,3849,OPTIMAL,FALSE
10,3016.436618,7.57E-05,41.73789406,74181,OPTIMAL,,3016.208421,0,4.284891129,13914,OPTIMAL,FALSE
11,3245.925193,2.76E-05,37.87905502,104288,OPTIMAL,,3245.835569,0,2.403093338,5678,OPTIMAL,FALSE
12,3115.869273,5.72E-06,48.37127495,77794,OPTIMAL,,3066.21174,0,4.401525497,7149,OPTIMAL,FALSE
13,2798.055801,0,607.5083694,1237610,OPTIMAL,,2786.23574,0,3.139970779,2230,OPTIMAL,FALSE
14,3460.373095,3.67E-05,7.908752441,10142,OPTIMAL,,3460.246019,0,2.368398666,3672,OPTIMAL,FALSE
15,3121.077606,9.15E-05,341.6289711,561983,OPTIMAL,,3117.525162,0,1.976224899,2951,OPTIMAL,FALSE
16,2834.193903,6.30E-06,6.912578583,12540,OPTIMAL,,2834.176047,0,1.949533463,3596,OPTIMAL,TRUE
17,2648.52254,6.63E-06,23.83430099,44407,OPTIMAL,,2581.671087,0,5.405031204,9997,OPTIMAL,TRUE
18,2862.216636,0,519.0743999,897664,OPTIMAL,,2849.097666,0,3.16484642,5782,OPTIMAL,FALSE
19,3116.099462,5.68E-06,17.43604469,28007,OPTIMAL,,3116.081759,0,1.749383926,3462,OPTIMAL,FALSE
20,3398.509028,3.92E-05,10.00753784,19049,OPTIMAL,,3398.375501,0,5.710668564,12607,OPTIMAL,FALSE
21,2894.376297,5.10E-05,8.561988831,15142,OPTIMAL,,2894.228785,0,2.418207169,4177,OPTIMAL,TRUE
22,2864.589802,8.86E-05,8.991846085,21440,OPTIMAL,,2864.335948,0,2.684589386,5045,OPTIMAL,TRUE
23,3056.161256,7.87E-06,40.68241882,79688,OPTIMAL,,3043.204852,0,8.988130569,21874,OPTIMAL,FALSE
24,2944.481289,5.27E-05,254.949049,543465,OPTIMAL,,2834.511692,0,2.90186882,5223,OPTIMAL,FALSE
25,3318.787034,2.96E-06,12.76499367,31376,OPTIMAL,,3318.77722,0,1.704708099,3226,OPTIMAL,FALSE
26,2488.692511,6.14E-05,7.843826294,15527,OPTIMAL,,2488.53974,0,6.700000763,13656,OPTIMAL,TRUE
27,2824.35802,3.41E-05,35.23743057,77539,OPTIMAL,,2776.261536,0,2.917268753,3409,OPTIMAL,TRUE
28,3060.505554,2.02E-05,21.31957245,39186,OPTIMAL,,3060.44374,0,3.455284119,7148,OPTIMAL,FALSE
29,3081.924809,3.73E-05,12.16161537,25923,OPTIMAL,,3081.809811,0,2.836589813,3455,OPTIMAL,FALSE
30,3218.644831,0,335.1403103,615421,OPTIMAL,,3157.8753,0,2.937162399,8723,OPTIMAL,FALSE
,,,,,,,,,,,,
,,,108.061504,,,,,,3.134391975,,,
